ID,Square_Feet,Num_Bedrooms,Num_Bathrooms,Num_Floors,Year_Built,Has_Garden,Has_Pool,Garage_Size,Location_Score,Distance_to_Center,Price
1,143.64,1,3,3,1967,1,1,48,8.3,5.94,602134.82
2,287.68,1,2,1,1949,0,1,37,6.06,10.83,591425.14
3,233.0,1,3,2,1923,1,0,14,2.91,6.9,464478.7
4,199.66,5,2,2,1918,0,0,17,2.07,8.28,583105.66
5,89.0,4,3,3,1999,1,0,34,1.52,14.65,619879.14
6,89.0,5,3,2,1959,1,1,36,8.99,17.63,670386.8
7,64.52,4,3,1,1938,0,1,32,7.1,2.43,523827.13
8,266.54,5,1,3,1973,1,1,39,9.37,12.69,875352.55
9,200.28,5,1,1,1988,1,1,32,6.03,11.64,738269.85
10,227.02,3,2,1,1917,0,0,29,4.73,2.37,490552.68
11,55.15,5,2,2,1918,1,0,27,0.6,4.24,488942.13
12,292.48,2,1,3,1935,1,1,27,6.72,6.22,677623.47
13,258.11,3,2,3,1973,1,0,11,5.82,3.34,685123.53
14,103.08,5,1,2,1996,0,1,13,9.9,4.87,658652.79
15,95.46,1,3,1,1954,0,1,39,2.39,5.35,413729.07
16,95.85,2,2,1,2013,1,0,42,5.31,6.71,523527.97
17,126.06,2,2,1,1968,0,1,45,6.51,14.99,527769.81
18,181.19,2,1,1,1946,1,1,27,6.45,11.44,514261.0
19,157.99,3,2,3,1948,1,0,46,5.61,19.72,581392.94
20,122.81,5,2,3,1998,1,1,28,7.77,8.29,750687.62
21,202.96,5,3,2,2007,1,1,37,2.05,15.08,832883.87
22,84.87,1,2,2,1997,1,0,49,7.26,17.43,479876.36
23,123.04,1,3,3,1932,0,1,29,6.2,13.58,437751.64
24,141.59,2,1,3,2018,1,0,42,8.96,8.24,629162.36
25,164.02,1,2,1,1920,0,1,21,8.47,15.07,394665.75
26,246.29,3,3,1,1980,0,0,24,3.15,4.07,651471.41
27,99.92,5,1,2,1921,1,0,48,2.76,6.55,563531.48
28,178.56,2,2,3,1947,1,0,11,9.82,10.93,528557.49
29,198.1,1,1,2,1936,0,1,38,5.27,11.51,466357.44
30,61.61,3,2,3,1914,0,0,19,9.06,0.44,428376.72
31,201.89,3,1,1,1934,0,0,11,1.64,18.9,438805.87
32,92.63,1,1,2,1991,1,0,20,6.43,13.93,408507.95
33,66.26,5,3,2,1970,0,0,22,8.1,9.91,592796.96
34,287.22,1,1,3,1931,1,0,19,9.47,18.66,506721.27
35,291.41,2,2,1,1910,1,1,23,3.37,8.78,595676.98
36,252.1,1,2,2,1909,1,1,27,7.25,19.61,504981.6
37,126.15,3,3,1,1972,0,1,18,5.39,10.25,584118.05
38,74.42,1,2,2,1977,1,1,48,0.61,2.29,493819.27
39,221.06,5,2,1,1976,1,1,37,6.9,15.3,749855.06
40,160.04,4,2,3,1956,1,1,12,6.9,13.58,690863.2
41,80.51,1,1,2,1924,1,1,29,9.31,15.46,352899.27
